,Name,Entry Number,Timestamp,Total Time,Status
95,ZDjJhirmzq_6517XVY7245,6517XVY7245,"['11:00:31,11:47:23,00:46:52']",00:46:52,Present
96,ZcwOpnilJX_4537ITK4802,4537ITK4802,"['10:56:12,10:59:03,00:02:51', '10:59:04,10:59:05,00:00:01', '10:59:06,11:37:00,00:37:54']",00:40:46,Present
97,ZeozIBexPD_7469TVL2314,7469TVL2314,"['10:56:12,12:25:15,01:29:03']",01:29:03,Present
98,ZgkKZTGliE,,"['11:06:11,12:05:09,00:58:58']",00:58:58,Present
99,ZscUHTjCeB_2506UPC1285,2506UPC1285,"['11:01:34,11:12:49,00:11:15']",00:11:15,Absent
100,aQyaEZwELy_4106BWA9182,4106BWA9182,"['11:45:23,12:25:08,00:39:45']",00:39:45,Absent
101,aqXoNjKwKP_3014GKT9518,3014GKT9518,"['11:00:09,12:25:02,01:24:53']",01:24:53,Present
102,awZswsQYuz_5584MJW2995,5584MJW2995,"['10:56:14,10:56:21,00:00:07', '10:59:45,11:00:21,00:00:36']",00:00:43,Absent
103,bEoGvOpCCf_0214ZEW4211,0214ZEW4211,"['11:00:37,11:01:15,00:00:38', '11:01:15,11:23:00,00:21:45', '12:12:13,12:22:38,00:10:25']",00:32:48,Absent
104,bFHjXDuOEv_9711CSD4894,9711CSD4894,"['11:02:06,12:25:00,01:22:54']",01:22:54,Present
105,bMVutBZhxl_1172WYN2591,1172WYN2591,"['11:19:57,11:21:25,00:01:28', '11:24:00,12:25:03,01:01:03']",01:02:31,Present
106,bYxqWpyHSQ_5293WSC6756,5293WSC6756,"['10:56:14,10:59:06,00:02:52', '10:59:07,11:59:05,00:59:58']",01:02:50,Present
107,bcDOMuiaxZ,,"['10:59:53,12:25:04,01:25:11']",01:25:11,Present
108,bevVlWQxda_7486XCM8170,7486XCM8170,"['11:02:49,11:03:24,00:00:35', '11:03:24,12:24:58,01:21:34']",01:22:09,Present
109,bseIqsvTSy_2260REG4484,2260REG4484,"['10:57:56,10:59:07,00:01:11', '10:59:07,12:24:36,01:25:29']",01:26:40,Present
110,cPeVuoqrCm_4638JGF0382,4638JGF0382,"['10:57:39,10:59:07,00:01:28', '10:59:07,12:24:36,01:25:29']",01:26:57,Present
111,cYcaStAIlM_1226OEN1098,1226OEN1098,"['11:21:29,12:24:58,01:03:29']",01:03:29,Present
112,cjMhQlVtvn_4393XUO5311,4393XUO5311,"['10:59:25,12:17:44,01:18:19']",01:18:19,Present
113,ckanBUtlde,,"['11:02:34,11:34:36,00:32:02', '11:35:02,12:25:04,00:50:02']",01:22:04,Present
114,dBegJDMNBp_8784PRZ5684,8784PRZ5684,"['11:26:42,12:25:05,00:58:23']",00:58:23,Present
115,dDqKrGdTXp_5963TPT0266,5963TPT0266,"['11:00:44,11:01:14,00:00:30', '11:01:14,11:21:55,00:20:41']",00:21:11,Absent
116,eDCrvEorED_8171YIR4620,8171YIR4620,"['11:04:26,11:04:35,00:00:09']",00:00:09,Absent
117,eJzgrjWRRj_8573RER0783,8573RER0783,"['11:02:49,12:24:58,01:22:09']",01:22:09,Present
118,eXbrxbpOlp_9077YVB1573,9077YVB1573,"['11:05:04,11:05:46,00:00:42', '11:05:46,2020-09-26 12:30:59,01:25:13']",01:25:55,Present
119,ehdtdniZKp_0685JGB9978,0685JGB9978,"['11:20:41,11:23:17,00:02:36']",00:02:36,Absent
120,fqWAYtnDcy_6580TCC7412,6580TCC7412,"['10:59:13,10:59:21,00:00:08']",00:00:08,Absent
121,fuXbmQESKL_5586BZU6628,5586BZU6628,"['11:24:21,12:24:59,01:00:38']",01:00:38,Present
122,gsGRzsqqoQ_1543WOK9631,1543WOK9631,"['10:58:03,10:58:08,00:00:05', '10:59:07,12:24:52,01:25:45']",01:25:50,Present
123,hMkYHidXrj_3023BRG7569,3023BRG7569,"['11:32:38,12:25:02,00:52:24']",00:52:24,Present
124,hXcMUMjoQg_2014GOI4381,2014GOI4381,"['10:56:12,10:57:10,00:00:58', '11:00:13,12:14:51,01:14:38', '12:16:25,2020-09-26 12:30:59,00:14:34']",01:30:10,Present
125,hiKUPhqnaU_1355VAN6641,1355VAN6641,"['11:08:45,11:14:40,00:05:55']",00:05:55,Absent
126,hqWlmWrifr_9873SVW8121,9873SVW8121,"['10:58:43,10:59:04,00:00:21', '10:59:05,12:25:10,01:26:05']",01:26:26,Present
127,hrKKoVjLHO_7659YZK0470,7659YZK0470,"['11:35:43,12:23:35,00:47:52']",00:47:52,Present
128,htTALNjEuR_4164BEX1348,4164BEX1348,"['11:13:09,11:50:42,00:37:33']",00:37:33,Absent
129,hycmnUTyMi_4581MVL2524,4581MVL2524,"['10:57:37,10:59:03,00:01:26', '10:59:04,2020-09-26 12:30:59,01:31:55']",01:33:21,Present
130,isWDpCeoyv_7058BJY2882,7058BJY2882,"['11:02:33,12:24:56,01:22:23']",01:22:23,Present
131,jOMmUhrrum_7441LZC5786,7441LZC5786,"['11:00:51,12:25:04,01:24:13']",01:24:13,Present
132,jsrNooHiGn_9683EBE1780,9683EBE1780,"['11:06:52,12:25:05,01:18:13']",01:18:13,Present
133,kIjIpbKPrG_4776QAL6684,4776QAL6684,"['10:57:47,10:58:09,00:00:22']",00:00:22,Absent
134,kWQxhppYHv_4759JWX7056,4759JWX7056,"['11:01:49,11:37:50,00:36:01', '11:38:00,12:16:12,00:38:12', '12:17:57,12:25:14,00:07:17']",01:21:30,Present
135,koNfxbYTDb_3965HNF7726,3965HNF7726,"['11:09:46,11:46:00,00:36:14', '11:46:14,12:25:16,00:39:02']",01:15:16,Present
136,kokIoYgOcU,,"['11:05:06,12:24:57,01:19:51']",01:19:51,Present
137,lKWJATnPgg_6254CUB5022,6254CUB5022,"['10:58:49,10:59:05,00:00:16']",00:00:16,Absent
138,lUrBhzkGRg_0578CYT0326,0578CYT0326,"['11:13:00,11:15:15,00:02:15']",00:02:15,Absent
139,laCHGVZsdO_7088FTO2914,7088FTO2914,"['12:22:04,12:24:57,00:02:53']",00:02:53,Absent
140,mASJVjPfZM_6624JTX8745,6624JTX8745,"['11:01:57,11:37:08,00:35:11']",00:35:11,Absent
141,mPMaCRYgkW_0042UGE9373,0042UGE9373,"['11:08:28,12:24:45,01:16:17']",01:16:17,Present
142,miSfyBecFr_7719MSV8167,7719MSV8167,"['11:07:24,11:56:41,00:49:17']",00:49:17,Present
143,nHMvHmdvia_5795PDI7527,5795PDI7527,"['11:02:14,12:25:03,01:22:49']",01:22:49,Present
144,nOnPNLhICy_7440EOO4030,7440EOO4030,"['11:00:01,11:05:38,00:05:37']",00:05:37,Absent
145,ncrsjxjkng_3663JZG0946,3663JZG0946,"['10:56:12,12:25:05,01:28:53']",01:28:53,Present
146,oAxsFLxmfE_7320YFP3716,7320YFP3716,"['11:00:27,11:01:14,00:00:47', '11:01:14,12:25:06,01:23:52']",01:24:39,Present
147,oCVHmwmMQO_3874AED5155,3874AED5155,"['11:07:16,11:15:45,00:08:29', '11:16:35,12:25:01,01:08:26']",01:16:55,Present
